region,village_slug,village_name,lat,lng
himachal,chango,Chango,31.9777573,78.5944015
himachal,tissa,Tissa,32.8336840,76.1564219
himachal,barot,Barot,32.0377277,76.8452055
himachal,lohardi,Lohardi,32.0533155,76.8575547
himachal,bara-bhangal,Bara Bhangal,32.3239642,76.8108795
himachal,kotkhai,Kotkhai,31.1569042,77.5310257
himachal,kotgarh,Kotgarh,31.3110051,77.4770665
himachal,nahan,Nahan,30.5601803,77.2923596
himachal,haripurdhar,Haripurdhar,30.7710671,77.5320649
himachal,kafnu,Kafnu,31.5652800,77.9347200
himachal,rupi,Rupi,31.5800000,77.9000000
himachal,thachi,Thachi,31.5529210,77.1657616
arunachal,tawang,Tawang,27.5879186,91.8637330
arunachal,shyo,Shyo,27.5891423,91.8597993
arunachal,mechuka,Mechuka,28.5987453,94.1335827
arunachal,aalo,Aalo,28.1385744,94.7634153
nagaland,longwa,Longwa,26.6613790,95.2198490
nagaland,khonoma,Khonoma,25.6542904,94.0220132
nagaland,kigwema,Kigwema,25.6041663,94.1263533
meghalaya,mawlyngbna,Mawlyngbna,25.2329039,91.5646672
meghalaya,baghmara,Baghmara,25.3610902,90.6434347
meghalaya,wari-chora,Wari Chora,25.3334542,90.5712642
assam,kohora,Kohora,26.5947063,93.4033846
assam,majuli,Majuli,27.0219529,94.3274230
manipur,moirang,Moirang,24.5005506,93.7767476
manipur,tamenglong,Tamenglong,24.9960000,93.5050000
mizoram,lunglei,Lunglei,22.9519972,92.6338827
tripura,unakoti,Unakoti,24.1909849,92.0460483
kerala,kanthalloor,Kanthalloor,10.2165364,77.1955475
kerala,gavi,Gavi,9.4357292,77.1594717
telangana,kinnerasani,Kinnerasani,17.6189661,80.7813306
karnataka,agumbe,Agumbe,13.5084827,75.0962575
karnataka,yana,Yana,14.5786094,74.5598169
goa,cotigao,Cotigao,14.9593191,74.1048885
goa,rivona,Rivona,15.1649500,74.1111808
maharashtra,velas,Velas,17.9608653,73.0345215
